음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7692275,포스트극장,서울 마포구 창전동 5-92,아현동전골목,서울 마포구 아현동,H에비뉴호텔 신촌이대점,호텔,3.7650409,서울 마포구 노고산동 1-74
,,,,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.7692275,히든플레이스,서울 서대문구 대현동 53-10,연세로,서울 서대문구 창천동,신촌월호텔,모텔,0.58224434,서울 서대문구 대현동 104-15
제주도로담,한식,3.8059044,서울 서대문구 대현동 104-18,포티드,서울 서대문구 창천동 5-58,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,이화52번가,서울 서대문구 대현동 33-9,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
연어초밥,일식,3.3172212,서울 서대문구 대현동 101-10,댓커피,서울 마포구 노고산동 19-52,3.7692275,AOR라이브클럽,서울 마포구 서교동 325-26,홍대벽화거리,서울 마포구 상수동 88-23,소라모텔,모텔,0.58224434,서울 서대문구 대현동 101-15
벽제갈비 신촌점,한식,3.8059044,서울 서대문구 창천동 13-20,클로리스 신촌점,서울 서대문구 창천동 13-35,3.7692275,신촌아리수스트로 공연장,서울 서대문구 창천동 31-119,공덕시장족발골목,서울 마포구 공덕동 256-10,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
복성각,중식,3.5214744,서울 서대문구 창천동 31-8,옥루몽 신촌본점,서울 서대문구 대신동 50-3,3.7692275,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,마포음식문화거리,서울 마포구 용강동 45-15,피터캣,모텔,0.58224434,서울 마포구 노고산동 106-25
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,옥루몽 신촌본점,서울 서대문구 대신동 50-3,3.7692275,히든플레이스,서울 서대문구 대현동 53-10,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,아바니호텔,호텔,3.7650409,서울 서대문구 창천동 20-37
벽제갈비 신촌점,한식,3.8059044,서울 서대문구 창천동 13-20,호밀밭,서울 서대문구 창천동 4-77,3.7692275,포스트극장,서울 마포구 창전동 5-92,공덕소담길,서울 마포구 공덕동,애니타임호텔,모텔,0.58224434,서울 서대문구 창천동 29-51
,,,,비로소커피,서울 마포구 신수동 85-19,3.7692275,자미갤러리,서울 서대문구 대현동 110-4,소금길,서울 마포구 염리동 9-245,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
,,,,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.7692275,연세대학교 노천극장,서울 서대문구 신촌동 134,신촌이대거리,서울 서대문구 창천동,애니타임호텔,모텔,0.58224434,서울 서대문구 창천동 29-51
연어초밥,일식,3.3172212,서울 서대문구 대현동 101-10,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7692275,극장PLOT,서울 서대문구 창천동 13-21,마포전골목,서울 마포구 공덕동,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
이빠네마그릴,양식,3.0544405,서울 서대문구 창천동 18-11,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7692275,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,공덕시장족발골목,서울 마포구 공덕동 256-10,롯데시티호텔 마포,호텔,3.7650409,서울 마포구 공덕동 467
아민 이화,양식,3.0544405,서울 서대문구 대현동 34-23,더파이홀,서울 서대문구 창천동 57-61,3.7692275,연세대학교 대강당,서울 서대문구 신촌동 134,와우산,서울 마포구 창전동 3-243,굿타임호텔,모텔,0.5822444,서울 서대문구 대현동 104-41
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,휴,서울 서대문구 창천동 18-5,3.7692275,백범김구기념관,서울 용산구 효창동 255,홍대걷고싶은거리,서울 마포구 서교동 348-40,호텔제이드,모텔,0.58224434,서울 서대문구 창천동 29-49
벽제갈비 신촌점,한식,3.8059044,서울 서대문구 창천동 13-20,댓커피,서울 마포구 노고산동 19-52,3.7692275,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,홍대패션거리,서울 마포구 서교동 348-78,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
,,,,스타벅스 신촌점,서울 서대문구 창천동 18-55,3.7692275,긱라이브하우스,서울 마포구 동교동 185-10,신촌대학탐방나들길,서울 서대문구 대현동,넘버25호텔 신촌점,모텔,0.58224434,서울 마포구 노고산동 106-10
